LS,permno
L,86489
L,27618
L,92597
L,91103
L,10874
L,79108
L,90199
L,34367
L,72304
L,20765
L,90952
L,39220
L,84010
L,79307
L,81073
L,56945
L,78051
L,89781
L,79698
L,90966
L,25419
L,90011
L,12503
L,38682
L,88590
L,12080
L,59045
L,84516
L,12915
L,90742
L,60580
L,90856
L,79444
L,79094
L,40416
L,90274
L,13336
L,12049
L,13577
L,12682
L,66683
L,88988
L,90535
L,80951
L,59467
L,85913
L,49905
L,76839
L,84168
L,64785
L,89757
L,89244
L,12410
L,90400
L,10182
L,16678
L,89394
L,76644
L,24766
L,76721
L,86810
L,83834
L,75224
L,13563
L,10659
L,72980
L,89269
L,81254
L,91975
L,90591
L,91018
L,92924
L,83113
L,11565
L,85426
L,80054
L,91891
L,82634
L,90272
L,12894
L,80032
L,87532
L,90706
L,88853
L,93179
L,81540
L,10866
L,90129
L,86083
L,61487
L,11664
L,75460
L,46181
L,85914
L,90893
L,92635
L,20670
L,93400
L,76671
L,48653
L,83272
L,30680
L,86525
L,90248
L,84606
L,17279
L,84234
L,40539
L,13343
L,77897
L,11809
L,80795
L,76207
L,80990
L,90833
L,92729
L,12476
L,80912
L,77292
L,91073
L,79299
L,91926
L,61496
L,76798
L,91161
L,83779
L,89471
L,90605
L,12873
L,91692
L,12521
L,78981
L,78981
L,91234
L,90188
L,65285
L,85908
L,91432
L,91365
L,93079
L,92378
L,48725
L,85627
L,79785
L,11081
L,91675
L,91556
L,13688
L,78990
L,50550
L,87034
L,77730
L,13511
L,47619
L,93175
L,83799
L,76591
L,79244
L,90110
L,64929
L,86993
L,90734
L,85246
L,50017
L,90989
L,82859
L,67467
L,25129
L,90900
L,86021
L,82642
L,92771
L,63132
L,81220
L,13018
L,55597
L,36898
L,74406
L,47379
L,75215
L,83304
L,12960
L,76613
L,79116
L,89574
L,91041
L,81128
L,23916
L,62033
L,43481
L,91391
L,79906
L,13579
L,42200
L,34032
L,46578
L,29050
L,82800
L,35917
L,90275
L,81138
L,80112
L,90868
L,21207
L,48267
L,23712
L,89393
L,50623
L,76697
L,13527
L,12913
L,82694
L,90916
L,10032
L,73219
L,84372
L,60186
L,81256
L,89456
L,89456
L,12363
L,12366
L,11056
L,11056
L,76515
L,75905
L,32540
L,36397
L,78829
L,87165
L,91141
L,12570
L,75222
L,84385
L,93141
L,88820
L,88908
L,77785
L,89141
L,89141
L,85445
L,13656
L,85271
L,79571
L,82212
L,89954
L,92872
L,88924
L,51086
L,61269
L,91507
L,82643
L,91907
L,80592
L,12637
L,69199
L,92429
L,87725
L,87725
L,52230
L,12629
L,89327
L,92502
L,35685
L,77501
L,77668
L,87771
L,78915
L,83123
L,79336
L,85789
L,36468
L,84042
L,79249
L,65752
L,77354
L,91040
L,10220
L,13356
L,91114
L,18729
L,64135
L,76709
L,27909
L,92655
L,84519
L,86547
L,90779
L,41187
L,91888
L,90352
L,13280
L,86157
L,91905
L,57154
L,12758
L,79089
L,75342
L,85173
L,78841
L,92773
L,72005
L,12781
L,12872
L,77117
L,77478
L,90561
L,34746
L,90993
L,25232
L,80343
L,44601
L,88817
L,81620
L,12922
L,89407
L,76711
L,89548
L,50876
L,17523
L,87476
L,59628
L,76139
L,32803
L,39917
L,47723
L,83671
L,28564
S,85390
S,71176
S,15721
S,49373
S,77660
S,81577
S,24328
S,11641
S,11641
S,92467
S,20482
S,91897
S,43772
S,37234
S,84062
S,24643
S,91215
S,84338
S,10259
S,88335
S,93085
S,47511
S,78200
S,83642
S,10421
S,76624
S,85738
S,86725
S,60098
S,13111
S,89841
S,79637
S,43350
S,38658
S,89971
S,90386
S,93132
S,12437
S,88750
S,13407
S,88615
S,79628
S,59176
S,91968
S,89006
S,10225
S,35107
S,90982
S,82261
S,86996
S,85994
S,87084
S,77327
S,52337
S,93266
S,18650
S,76082
S,13410
S,76565
S,87612
S,93234
S,13643
S,26470
S,93098
S,13305
S,93436
S,44768
S,79881
S,48486
S,86091
S,93393
S,82486
S,82486
S,90037
S,90515
S,90992
S,49330
S,62376
S,27983
S,83534
S,88172
S,77418
S,62367
S,13534
S,89915
S,90233
S,92239
S,45241
S,83976
S,88284
S,91977
S,69796
S,35238
S,12392
S,50606
S,11382
S,65541
S,76661
S,11638
S,62092
S,40468
S,76138
S,85860
S,85332
S,93372
S,89655
S,81184
S,79131
S,93264
S,89636
S,79588
S,89508
S,13411
S,75034
S,76586
S,13430
S,80804
S,83928
S,83541
S,90423
S,84281
S,91743
S,84032
S,90421
S,86080
S,18091
S,11999
S,12650
S,88195
S,91262
S,89611
S,61815
S,79668
S,92469
S,87179
S,91976
S,84808
S,85653
S,77595
S,91899
S,15069
S,91514
S,88182
S,86979
S,91501
S,90748
S,85763
S,91837
S,52090
S,92854
S,86899
S,87039
S,91402
S,77606
S,75241
S,92303
S,66852
S,14816
S,14816
S,90080
S,13035
S,27422
S,70500
S,12072
S,13316
S,91959
S,90487
S,22752
S,66325
S,92775
S,91204
S,70332
S,90436
S,83856
S,92460
S,91915
S,85424
S,76266
S,83421
S,86881
S,11348
S,18973
S,28484
S,90377
S,88446
S,91678
S,50948
S,80864
S,84588
